PST_PT_C,SPOT_NUM,PST_SEV_CD,PST_SEV_DS,PST_SPC_CD,PST_CMN_NM,PST_LTN_NM,PST_CM_CD,PST_CM_DSC,CPTR_YR,NUM_TREES,AREA_HA,ORG_UNITNO,TR_SPCS_CD,TR_CM_NM,COMMENTS,GEOMETRY,OBJECTID,X,Y
3079,361172021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,42,BL,subalpine fir,,,1634255,-121.95532945928555,55.114694560785885
3080,361182021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,30,BL,subalpine fir,,,1634256,-124.4802100439682,55.17138275433498
3081,361202021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,18,BL,subalpine fir,,,1634258,-122.49309825016088,55.131234368504714
3082,361222021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,20,0.25,18,SX,spruce hybrid,,,1634260,-122.56643115557192,55.13604333680886
3083,361232021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,42,SX,spruce hybrid,,,1634261,-121.90688298650512,55.11607305680337
3084,361252021,S,Severe,NF,Flooding,,OS,Overview Survey Sketchmapping Fixed Wing,2021,50,0.5,42,SX,spruce hybrid,,,1634263,-120.31184875300637,55.054293687649285
3085,361262021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,30,BL,subalpine fir,,,1634264,-125.24198774165993,55.182418408904745
3086,361282021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,42,BL,subalpine fir,,,1634266,-121.7065330407691,55.11122698492507
3087,361302021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,18,SX,spruce hybrid,,,1634268,-122.57698437086144,55.139093482143956
3088,361322021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,40,0.5,38,SX,spruce hybrid,,,1634270,-122.9041100838318,55.147869716860235
3089,361332021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,30,BL,subalpine fir,,,1634271,-124.45271929753387,55.1769708269561
3090,391322021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,42,SX,spruce hybrid,,,1637270,-121.6109200769727,57.723196536014775
3091,391332021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,42,SX,spruce hybrid,,,1637271,-120.43238157865102,57.67892714929574
3092,391352021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,42,SX,spruce hybrid,,,1637273,-122.4343906284148,57.75234435924504
3093,391382021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,42,SX,spruce hybrid,,,1637276,-122.4599878702116,57.75673746961033
3094,391402021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,42,SX,spruce hybrid,,,1637278,-121.45636570712861,57.72828955027722
3095,391412021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,42,SX,spruce hybrid,,,1637279,-122.42688418817053,57.76012693468871
3096,391432021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,42,SX,spruce hybrid,,,1637281,-122.37971304034205,57.76077578096522
3097,391452021,S,Severe,NF,Flooding,,OS,Overview Survey Sketchmapping Fixed Wing,2021,4,0.25,42,SX,spruce hybrid,NF-IBS?,,1637283,-121.33754328151129,57.72915329046171
3098,391472021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,42,SX,spruce hybrid,,,1637285,-121.42641410650555,57.73284730287899
3099,391492021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,46,BL,subalpine fir,,,1637287,-123.0514716602953,57.78379304972501
3100,391512021,S,Severe,NF,Flooding,,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,42,,,NF-IBS?,,1637289,-120.73549231177884,57.713103320471866
3101,391522021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,38,BL,subalpine fir,,,1637290,-125.11913363849067,57.81588118320872
3102,391542021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,42,SX,spruce hybrid,,,1637292,-122.13492713718995,57.76562894903453
3103,391562021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,42,SX,spruce hybrid,,,1637294,-121.13762940806657,57.735269838529504
3104,391582021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,42,SX,spruce hybrid,,,1637296,-122.22608543795901,57.771106959907236
3105,391592021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,38,BL,subalpine fir,,,1637297,-125.09725842648096,57.82226208134423
3106,391612021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,38,BL,subalpine fir,,,1637299,-125.08261790005398,57.82868959720466
